manager,etf_name,short_code,fund_code,detail_url,source,asset_class,style,theme,category_tags,aum_okr,aum_unit,asof_date,holdings_source,holding_count,fetched_at_utc,error,run_date_kst
삼성,KODEX CD금리액티브(합성),459580,K55105E24776,https://www.samsungfund.com/etf/product/view.do?id=2ETFJ8,FunETF,금리형,액티브,금리형,금리형 | 액티브 | 단기금리형(파킹형),78667.82073424,억원,2026-03-31,KODEX,32,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 머니마켓액티브,488770,K55105EC8033,https://www.samsungfund.com/etf/product/view.do?id=2ETFO1,FunETF,채권,액티브,금리형,채권 | 액티브 | 금리형 | 단기금리형(파킹형),76800.74955273,억원,2026-03-31,KODEX,641,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KODEX KOFR금리액티브(합성),423160,K55105DR9373,https://www.samsungfund.com/etf/product/view.do?id=2ETFG6,FunETF,금리형,액티브,금리형,금리형 | 액티브 | 단기금리형(파킹형),44881.26330185,억원,2026-03-31,KODEX,9,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 종합채권(AA-이상)액티브,273130,K55105BR0838,https://www.funetf.co.kr/product/etf/view/KR7273130005,FunETF,채권,액티브,채권,채권 | 액티브 | 종합채권,39562.05121127,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product/2ETF88.do,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 머니마켓액티브,0043B0,K55301EI2420,https://www.funetf.co.kr/product/etf/view/KR70043B0000,FunETF,채권,액티브,금리형,채권 | 액티브 | 금리형 | 단기금리형(파킹형),32168.98520439,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX CD1년금리플러스액티브(합성),481050,K55105E94878,https://www.samsungfund.com/etf/product/view.do?id=2ETFM7,FunETF,금리형,액티브,금리형,금리형 | 액티브 | 단기금리형(파킹형),28436.60389786,억원,2026-03-31,KODEX,23,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER KOFR금리액티브(합성),449170,K55301DY1209,https://www.funetf.co.kr/product/etf/view/KR7449170000,FunETF,금리형,액티브,금리형,금리형 | 액티브 | 단기금리형(파킹형),24331.1495117,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER CD1년금리액티브(합성),475630,K55301E85343,https://www.funetf.co.kr/product/etf/view/KR7475630000,FunETF,금리형,액티브,금리형,금리형 | 액티브 | 단기금리형(파킹형),15860.85145266,억원,2026-04-01,FunETF,7,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 26-12 금융채(AA-이상)액티브,0117L0,K55105EN8634,https://www.samsungfund.com/etf/product/view.do?id=2ETFS7,FunETF,채권,액티브,채권,채권 | 액티브,14490.80854144,억원,2026-03-31,KODEX,153,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 12월자동연장금융채(AA-이상)액티브,0139F0,K55301EP6638,https://www.funetf.co.kr/product/etf/view/KR70139F0001,FunETF,채권,액티브,채권,채권 | 액티브,11877.40010024,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
